FIELD,INCOME_GROUP,ntotal_gender,n_men,n_women,n_nogender,Model,n_total_models,percent_model
 Multidisciplinary,Upper middle,1,0,0,1,Closed Access,19972,0
all fields,High,196250,101630,35900,58720,Gold Open Access,703435,0.279
all fields,High,453146,223962,71454,157730,Hybrid (Open Choice),703435,0.644
all fields,High,20886,12265,2938,5683,Closed Access,703435,0.03
all fields,High,33153,20031,5068,8054,Not Given,703435,0.047
all fields,Low,2930,724,155,2051,Gold Open Access,4136,0.708
all fields,Low,1120,273,58,789,Hybrid (Open Choice),4136,0.271
all fields,Low,56,25,6,25,Not Given,4136,0.014
all fields,Low,30,11,2,17,Closed Access,4136,0.007
all fields,Lower Middle,10490,4407,1180,4903,Gold Open Access,92112,0.114
all fields,Lower Middle,70317,28111,5747,36459,Hybrid (Open Choice),92112,0.763
all fields,Lower Middle,1618,638,141,839,Not Given,92112,0.018
all fields,Lower Middle,9687,3938,993,4756,Closed Access,92112,0.105
all fields,Upper middle,80368,29623,22149,28596,Gold Open Access,470370,0.171
all fields,Upper middle,280830,109184,67184,104462,Hybrid (Open Choice),470370,0.597
all fields,Upper middle,15736,6102,4043,5591,Not Given,470370,0.033
all fields,Upper middle,93436,40122,13058,40256,Closed Access,470370,0.199
