PUBYEAR,INST_NAME,sector,sec_abbr,articles,oa_category,n_cat,oa_host,n_host,oa_articles,prop,prop_cat,prop_host,sector_cat
2010,Deutsches Primatenzentrum GmbH (DPZ),Leibniz Association,WGL,85,other_repo,20,repository,41,46,0.5411764705882353,0.23529411764705882,0.4823529411764706,Diverse missions
2010,Deutsches Primatenzentrum GmbH (DPZ),Leibniz Association,WGL,85,opendoar_inst,9,repository,41,46,0.5411764705882353,0.10588235294117647,0.4823529411764706,Diverse missions
2010,Deutsches Primatenzentrum GmbH (DPZ),Leibniz Association,WGL,85,opendoar_other,3,repository,41,46,0.5411764705882353,0.03529411764705882,0.4823529411764706,Diverse missions
2010,Deutsches Rheuma-Forschungszentrum Berlin,Leibniz Association,WGL,85,opendoar_subject,23,repository,36,46,0.5411764705882353,0.27058823529411763,0.4235294117647059,Diverse missions
2010,Deutsches Rheuma-Forschungszentrum Berlin,Leibniz Association,WGL,85,other_oa_journal,28,journal,34,46,0.5411764705882353,0.32941176470588235,0.4,Diverse missions
2010,Deutsches Rheuma-Forschungszentrum Berlin,Leibniz Association,WGL,85,not_oa,39,not_oa,39,46,0.5411764705882353,0.4588235294117647,0.4588235294117647,Diverse missions
2010,Deutsches Rheuma-Forschungszentrum Berlin,Leibniz Association,WGL,85,full_oa_journal,6,journal,34,46,0.5411764705882353,0.07058823529411765,0.4,Diverse missions
2010,Deutsches Rheuma-Forschungszentrum Berlin,Leibniz Association,WGL,85,other_repo,15,repository,36,46,0.5411764705882353,0.17647058823529413,0.4235294117647059,Diverse missions
2010,Deutsches Rheuma-Forschungszentrum Berlin,Leibniz Association,WGL,85,opendoar_inst,8,repository,36,46,0.5411764705882353,0.09411764705882353,0.4235294117647059,Diverse missions
2010,Deutsches Rheuma-Forschungszentrum Berlin,Leibniz Association,WGL,85,opendoar_other,4,repository,36,46,0.5411764705882353,0.047058823529411764,0.4235294117647059,Diverse missions
2010,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR),Helmholtz Association,HGF,665,opendoar_subject,50,repository,281,313,0.4706766917293233,0.07518796992481203,0.42255639097744363,Research-oriented
2010,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR),Helmholtz Association,HGF,665,other_oa_journal,43,journal,119,313,0.4706766917293233,0.06466165413533835,0.17894736842105263,Research-oriented
2010,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR),Helmholtz Association,HGF,665,not_oa,352,not_oa,352,313,0.4706766917293233,0.5293233082706766,0.5293233082706766,Research-oriented
2010,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR),Helmholtz Association,HGF,665,full_oa_journal,76,journal,119,313,0.4706766917293233,0.11428571428571428,0.17894736842105263,Research-oriented
2010,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR),Helmholtz Association,HGF,665,other_repo,124,repository,281,313,0.4706766917293233,0.18646616541353384,0.42255639097744363,Research-oriented
2010,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR),Helmholtz Association,HGF,665,opendoar_inst,215,repository,281,313,0.4706766917293233,0.3233082706766917,0.42255639097744363,Research-oriented
2010,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR),Helmholtz Association,HGF,665,opendoar_other,38,repository,281,313,0.4706766917293233,0.05714285714285714,0.42255639097744363,Research-oriented
2010,Deutsches Zentrum für Neurodegenerative Erkrankungen e.V. (DZNE),Helmholtz Association,HGF,130,opendoar_subject,57,repository,72,76,0.5846153846153846,0.43846153846153846,0.5538461538461539,Research-oriented
